,ATP,HTGD,ATGD,DiffFormPts,DiffPts,DiffLP,FTR
513,16,-1.0,-5.0,0,2,-11.0,H
514,10,-7.0,-10.0,2,1,-3.0,H
515,31,23.0,16.0,3,3,-1.0,D
516,23,-7.0,8.0,-4,-13,4.0,H
517,18,-5.0,1.0,-2,-2,5.0,H
518,10,-9.0,-10.0,1,-1,2.0,A
519,16,6.0,-5.0,1,6,-3.0,A
520,32,2.0,16.0,-6,-8,5.0,A
521,22,-6.0,10.0,0,-5,-4.0,H
522,23,0.0,7.0,3,-2,-6.0,D
523,21,23.0,6.0,8,14,-5.0,H
524,19,10.0,-3.0,-4,3,-1.0,H
525,17,-4.0,-6.0,0,-1,10.0,H
526,35,-6.0,23.0,-8,-19,11.0,A
527,23,7.0,6.0,-1,0,-2.0,D
528,24,-2.0,2.0,5,-2,1.0,H
529,9,-11.0,-11.0,-1,1,-1.0,H
530,22,-1.0,0.0,-1,-1,-3.0,A
531,14,3.0,-8.0,-2,7,-9.0,H
532,10,-4.0,-10.0,3,9,-6.0,D
533,16,-12.0,-5.0,0,-7,9.0,H
534,16,-6.0,-7.0,2,3,-7.0,H
535,25,-5.0,-1.0,-4,-9,5.0,H
536,21,-8.0,-1.0,-1,-7,15.0,A
537,16,-5.0,-5.0,-4,0,-3.0,A
538,14,1.0,-8.0,-2,10,-8.0,H
539,20,0.0,-5.0,1,2,3.0,H
540,20,27.0,-4.0,5,21,-13.0,H
541,22,-8.0,-1.0,0,-6,12.0,D
542,24,7.0,5.0,-1,1,3.0,H
543,12,-5.0,-11.0,3,10,-14.0,H
544,25,-10.0,-2.0,-10,-14,12.0,D
545,26,17.0,13.0,6,10,-2.0,D
546,24,-9.0,4.0,1,-8,7.0,D
547,19,17.0,-3.0,0,17,-11.0,H
548,26,-1.0,13.0,0,-4,-4.0,A
549,25,13.0,7.0,-1,1,-5.0,D
550,27,4.0,4.0,-2,-2,4.0,A
551,28,-15.0,8.0,-7,-16,16.0,A
552,11,-4.0,-11.0,8,8,-7.0,H
553,19,-2.0,-6.0,3,7,-2.0,A
554,17,-2.0,-9.0,-3,5,-18.0,A
555,39,3.0,18.0,-4,-15,4.0,A
556,25,-6.0,-1.0,-3,-5,9.0,A
557,44,-14.0,29.0,-10,-30,14.0,H
558,17,-11.0,-8.0,0,3,-12.0,H
559,19,14.0,-6.0,0,10,-6.0,H
560,44,3.0,28.0,-7,-19,10.0,A
561,17,-10.0,-13.0,0,6,-15.0,D
562,11,11.0,-13.0,11,20,-17.0,H
563,30,-7.0,5.0,-5,-10,7.0,A
564,12,-9.0,-18.0,-2,5,-7.0,H
565,28,-3.0,0.0,0,-6,8.0,H
566,20,9.0,-8.0,-4,9,-9.0,H
567,24,-3.0,2.0,3,2,2.0,A
568,42,-3.0,19.0,-7,-20,-2.0,A
569,31,-10.0,11.0,-7,-12,7.0,H
570,25,7.0,-1.0,-3,8,-6.0,H
571,26,20.0,-5.0,9,19,-6.0,D
572,20,4.0,-7.0,2,7,-6.0,D
573,22,31.0,-4.0,8,25,1.0,H
574,20,-10.0,-9.0,6,0,4.0,A
575,25,-2.0,0.0,7,3,-6.0,H
576,33,-14.0,18.0,-9,-22,16.0,A
577,32,-13.0,11.0,-5,-14,6.0,A
578,24,-20.0,-10.0,-4,-12,19.0,D
579,20,-9.0,-7.0,2,2,-2.0,H
580,35,8.0,12.0,1,1,-2.0,H
581,25,-20.0,-1.0,2,-12,8.0,H
582,25,20.0,-10.0,6,21,2.0,D
583,25,4.0,-2.0,-2,3,-7.0,H
584,27,33.0,-5.0,10,23,-7.0,H
585,36,-11.0,19.0,-4,-16,14.0,H
586,34,-1.0,12.0,0,-3,2.0,A
587,23,-14.0,-8.0,0,-5,1.0,A
588,12,-10.0,-14.0,3,13,-20.0,D
589,36,12.0,8.0,0,-2,-4.0,H
590,31,-7.0,7.0,-1,-5,8.0,H
591,23,-8.0,-10.0,-2,-2,-6.0,H
592,53,-5.0,34.0,-6,-28,12.0,D
593,31,11.0,-2.0,1,4,4.0,D
594,18,-6.0,-15.0,-2,9,-7.0,H
595,28,-9.0,-5.0,-12,-6,-10.0,A
596,16,18.0,-19.0,6,20,-15.0,H
597,47,-2.0,20.0,-10,-22,9.0,D
598,36,-5.0,18.0,2,-8,6.0,A
599,26,9.0,-7.0,9,13,-7.0,D
600,24,-23.0,-6.0,-3,-8,7.0,A
601,22,20.0,-13.0,9,26,2.0,H
602,26,34.0,-2.0,9,28,-10.0,H
603,36,-12.0,11.0,-2,-13,9.0,D
604,40,-19.0,16.0,-11,-28,17.0,A
605,27,-21.0,-10.0,-3,-9,15.0,D
606,30,6.0,0.0,3,1,-2.0,D
607,26,-2.0,-5.0,0,6,-8.0,A
608,12,-2.0,-19.0,0,14,-9.0,H
609,32,-10.0,-2.0,0,-5,-5.0,D
610,51,19.0,24.0,3,-8,1.0,H
611,31,-6.0,-4.0,-2,-1,4.0,A
612,40,-4.0,6.0,0,-13,5.0,H
613,19,-4.0,-21.0,5,10,-2.0,D
614,16,11.0,-25.0,4,21,-10.0,A
615,24,0.0,-12.0,1,7,-10.0,H
616,57,24.0,36.0,-1,-15,3.0,H
617,32,-15.0,6.0,-8,-10,-6.0,A
618,31,-18.0,-4.0,-8,-16,10.0,H
619,27,11.0,-4.0,-2,10,-3.0,D
620,22,2.0,-16.0,8,12,8.0,H
621,29,-14.0,-10.0,-1,-5,18.0,H
622,46,-21.0,21.0,-10,-26,12.0,A
623,19,2.0,-24.0,0,21,-12.0,D
624,31,22.0,-5.0,-3,20,-8.0,H
625,15,35.0,-22.0,6,42,-19.0,H
626,29,-4.0,-2.0,1,1,2.0,H
627,20,-2.0,-21.0,2,9,-4.0,H
628,24,-5.0,-14.0,5,7,-8.0,H
629,51,-24.0,22.0,1,-32,17.0,A
630,33,-12.0,-2.0,-4,-4,-13.0,H
631,36,22.0,8.0,7,13,-3.0,D
632,37,-11.0,3.0,-3,-7,6.0,A
633,46,0.0,25.0,0,-15,8.0,D
634,41,-23.0,2.0,-2,-26,13.0,A
635,38,-15.0,10.0,0,-13,-9.0,H
636,60,-7.0,39.0,-8,-27,4.0,A
637,31,25.0,0.0,-2,23,-10.0,H
638,31,8.0,-8.0,2,5,-4.0,H
639,20,39.0,-24.0,3,40,-18.0,H
640,50,-3.0,22.0,-5,-17,10.0,H
641,30,9.0,-12.0,-1,8,-5.0,H
642,32,5.0,-3.0,6,8,-3.0,H
643,33,-13.0,-8.0,2,-6,13.0,H
644,18,-23.0,-22.0,-4,2,-5.0,A
645,25,26.0,-16.0,10,24,4.0,H
646,32,3.0,-11.0,-1,12,7.0,H
647,33,9.0,-8.0,6,6,1.0,A
648,25,-22.0,-16.0,3,-7,20.0,D
649,20,-25.0,-23.0,2,0,4.0,H
650,66,-12.0,45.0,-7,-34,-1.0,A
651,30,21.0,-12.0,3,20,-15.0,H
652,43,-3.0,7.0,-5,-11,4.0,H
653,39,-22.0,8.0,-1,-20,14.0,A
654,41,-8.0,10.0,1,-7,1.0,H
655,47,-7.0,4.0,-4,-11,-2.0,H
656,36,-16.0,-2.0,-6,-10,-13.0,H
657,43,27.0,7.0,0,9,-4.0,H
658,32,-12.0,-5.0,-1,0,-11.0,D
659,66,21.0,45.0,-2,-16,2.0,A
660,29,-14.0,-15.0,-7,1,14.0,A
661,35,-3.0,-2.0,-1,1,1.0,D
662,63,7.0,31.0,-8,-22,7.0,A
663,42,-16.0,11.0,-4,-12,12.0,D
664,23,-25.0,-23.0,-3,-4,1.0,D
665,37,1.0,-5.0,1,10,-3.0,A
666,39,-28.0,-4.0,-6,-19,10.0,A
667,55,-5.0,28.0,-6,-22,7.0,A
668,63,-14.0,31.0,-12,-33,12.0,A
669,20,-5.0,-28.0,5,17,-5.0,A
670,31,32.0,-16.0,8,35,-16.0,H
671,47,47.0,0.0,8,25,-6.0,H
672,33,-2.0,-12.0,3,3,-2.0,A
673,41,5.0,5.0,5,2,-1.0,D
674,20,-3.0,-25.0,4,22,-15.0,H
675,33,-14.0,-13.0,6,-1,0.0,D
676,53,-6.0,24.0,-3,-20,8.0,D
677,37,-23.0,-3.0,-2,-13,6.0,H
678,55,11.0,27.0,-2,-12,2.0,H
679,31,0.0,-16.0,0,16,-11.0,H
680,33,-21.0,-14.0,-1,-6,19.0,H
681,42,-13.0,5.0,1,-8,-9.0,D
682,55,24.0,24.0,-4,-1,-1.0,H
683,40,50.0,-5.0,6,35,-9.0,H
684,36,-5.0,-11.0,-2,1,-1.0,A
685,69,-27.0,35.0,-10,-49,18.0,A
686,36,-28.0,-4.0,-2,-13,3.0,H
687,44,-1.0,5.0,5,1,-3.0,H
688,46,-6.0,12.0,-5,-12,5.0,D
689,34,12.0,-13.0,5,12,6.0,H
690,30,-11.0,-20.0,-3,7,-5.0,D
691,26,23.0,-26.0,0,29,-11.0,A
692,35,-8.0,-6.0,3,5,-1.0,A
693,48,36.0,0.0,0,24,-3.0,H
694,20,-6.0,-28.0,2,16,-8.0,H
695,78,5.0,53.0,-10,-35,8.0,H
696,57,4.0,27.0,-3,-13,5.0,A
697,37,-20.0,-6.0,0,-6,5.0,A
698,50,-15.0,-2.0,2,-17,-7.0,A
699,33,-6.0,-15.0,-5,2,11.0,D
700,50,0.0,15.0,-5,3,1.0,D
701,44,-20.0,3.0,10,-13,11.0,D
702,40,-16.0,-9.0,-7,-5,-14.0,A
703,56,-5.0,23.0,0,-16,9.0,D
704,46,-31.0,6.0,-4,-26,11.0,H
705,53,23.0,0.0,-2,3,-3.0,H
706,60,-9.0,28.0,0,-20,11.0,D
707,38,-3.0,-5.0,1,1,1.0,A
708,40,6.0,-5.0,1,6,-4.0,H
709,35,3.0,-16.0,-2,9,8.0,H
710,29,-18.0,-28.0,-5,5,3.0,H
711,32,15.0,-20.0,0,19,-13.0,H
712,49,-17.0,-1.0,-5,-15,-5.0,D
713,41,24.0,-9.0,-7,18,-10.0,H
714,34,54.0,-18.0,8,47,-17.0,H
715,23,-7.0,-29.0,2,20,-10.0,H
716,39,28.0,-5.0,4,22,-9.0,H
717,78,-28.0,40.0,-6,-49,13.0,A
718,45,0.0,3.0,5,9,-1.0,A
719,34,-20.0,-18.0,5,-2,1.0,D
720,44,-19.0,-7.0,-2,-9,-10.0,D
721,35,30.0,-17.0,8,29,3.0,H
722,39,54.0,-7.0,7,43,-11.0,D
723,62,-1.0,26.0,1,-12,1.0,D
724,41,-31.0,-11.0,-5,-18,6.0,D
725,54,-31.0,16.0,-2,-25,9.0,H
726,49,-3.0,5.0,1,-7,2.0,D
727,79,-6.0,40.0,-9,-38,11.0,D
728,32,-7.0,-21.0,-4,12,-9.0,H
729,54,40.0,-1.0,6,25,-5.0,D
730,85,15.0,56.0,-2,-31,5.0,A
731,43,-11.0,-3.0,-3,-1,3.0,A
732,53,-7.0,0.0,-4,-13,7.0,A
733,67,5.0,32.0,-5,-17,6.0,H
734,24,-20.0,-31.0,0,11,-2.0,H
735,32,-19.0,-30.0,-7,3,-15.0,A
736,36,26.0,-19.0,6,27,4.0,H
737,42,6.0,-6.0,2,9,-5.0,H
738,35,-3.0,-20.0,5,8,-7.0,H
739,50,15.0,5.0,0,4,-3.0,H
740,67,-21.0,31.0,-9,-31,-3.0,H
741,88,-13.0,57.0,-5,-46,13.0,A
742,50,-7.0,-2.0,-5,-8,3.0,A
743,24,7.0,-32.0,6,30,-12.0,A
744,55,-27.0,-3.0,4,-20,8.0,H
