,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,DiffPts,DiffFormPts,DiffLP,HTGD,ATGD
2414,H,31,9,W,W,W,L,L,W,10.0,5.0,25.0,13.0,16.0,9.0,7.0,6.0,0.0,2.0,0.0,1.0,22,12,-14,13.0,-12.0
2415,A,9,23,W,D,L,D,W,W,8.0,12.0,7.0,16.0,4.0,10.0,4.0,5.0,3.0,2.0,0.0,0.0,-14,-9,12,-12.0,3.0
2416,A,16,15,L,W,W,W,L,L,14.0,13.0,11.0,7.0,4.0,4.0,10.0,6.0,0.0,1.0,0.0,0.0,1,3,-7,-2.0,-10.0
2417,H,11,11,L,L,W,L,D,L,10.0,12.0,15.0,18.0,10.0,12.0,8.0,3.0,2.0,3.0,0.0,0.0,0,-1,7,-10.0,0.0
2418,H,12,23,D,D,L,D,W,D,12.0,9.0,19.0,17.0,13.0,9.0,2.0,10.0,3.0,1.0,0.0,1.0,-11,-4,1,-1.0,5.0
2419,H,23,16,D,W,W,L,W,W,7.0,14.0,12.0,7.0,7.0,1.0,7.0,4.0,2.0,2.0,0.0,0.0,7,7,-4,3.0,-2.0
2420,A,9,16,L,L,L,L,D,L,10.0,7.0,17.0,17.0,12.0,11.0,6.0,10.0,1.0,2.0,0.0,0.0,-7,-2,2,-15.0,-2.0
2421,H,23,16,L,D,W,D,L,W,12.0,5.0,21.0,6.0,15.0,2.0,17.0,5.0,2.0,0.0,0.0,0.0,7,4,-9,4.0,-10.0
2422,H,33,14,W,D,W,W,L,L,7.0,8.0,22.0,11.0,18.0,8.0,8.0,2.0,1.0,0.0,0.0,0.0,19,7,-18,18.0,-9.0
2423,H,16,26,L,W,L,L,D,L,9.0,8.0,13.0,11.0,11.0,8.0,7.0,2.0,3.0,2.0,0.0,1.0,-10,-3,7,-6.0,4.0
2424,H,14,15,L,D,L,W,D,D,8.0,7.0,16.0,12.0,8.0,7.0,6.0,5.0,1.0,1.0,0.0,0.0,-1,-3,2,-6.0,0.0
2425,A,15,9,D,L,W,L,W,D,9.0,7.0,13.0,7.0,8.0,4.0,13.0,2.0,1.0,1.0,0.0,0.0,6,0,-5,-8.0,-16.0
2426,H,18,31,W,W,L,L,W,W,8.0,7.0,10.0,15.0,7.0,12.0,7.0,12.0,2.0,2.0,0.0,1.0,-13,-6,10,-9.0,12.0
2427,H,11,10,L,L,D,W,L,D,11.0,7.0,22.0,3.0,12.0,2.0,9.0,0.0,2.0,2.0,0.0,0.0,1,-3,-6,-1.0,-11.0
2428,H,28,38,W,W,L,W,D,W,11.0,18.0,13.0,7.0,7.0,4.0,5.0,1.0,4.0,2.0,0.0,1.0,-10,-4,5,14.0,35.0
2429,A,10,15,W,L,D,D,L,W,7.0,10.0,17.0,13.0,14.0,6.0,3.0,7.0,1.0,1.0,0.0,0.0,-5,1,9,-11.0,-8.0
2430,D,17,19,D,L,L,W,L,W,9.0,12.0,28.0,7.0,15.0,1.0,13.0,0.0,1.0,1.0,0.0,0.0,-2,1,-5,-3.0,-4.0
2431,H,15,9,L,W,D,L,L,L,6.0,11.0,16.0,14.0,9.0,6.0,8.0,4.0,1.0,3.0,0.0,0.0,6,2,-9,-2.0,-16.0
2432,D,26,17,L,L,D,W,L,D,11.0,11.0,17.0,3.0,6.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,9,-1,-6,2.0,-4.0
2433,D,12,31,W,L,W,W,W,W,8.0,6.0,15.0,10.0,7.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0,-19,-5,9,-15.0,15.0
2434,A,14,21,L,W,L,W,W,W,8.0,11.0,10.0,8.0,5.0,4.0,7.0,5.0,2.0,4.0,0.0,0.0,-7,-3,6,-12.0,-8.0
2435,A,19,26,W,L,D,W,L,D,5.0,14.0,16.0,19.0,8.0,12.0,4.0,10.0,1.0,2.0,0.0,0.0,-7,-1,8,-1.0,5.0
2436,H,38,29,L,W,D,W,W,D,13.0,10.0,15.0,12.0,9.0,8.0,4.0,6.0,2.0,3.0,0.0,0.0,9,-3,-2,34.0,8.0
2437,A,16,36,L,D,L,W,W,D,5.0,7.0,11.0,19.0,3.0,12.0,5.0,10.0,1.0,2.0,0.0,0.0,-20,-9,15,-11.0,21.0
2438,H,34,14,W,L,W,W,L,L,6.0,8.0,16.0,8.0,12.0,4.0,6.0,0.0,1.0,2.0,0.0,0.0,20,8,-9,13.0,0.0
2439,A,10,9,L,W,L,L,L,L,10.0,7.0,17.0,8.0,7.0,5.0,5.0,9.0,3.0,0.0,0.0,0.0,1,1,1,-12.0,-16.0
2440,D,14,20,L,L,W,D,W,L,5.0,11.0,18.0,18.0,9.0,14.0,4.0,6.0,2.0,2.0,0.0,0.0,-6,-4,8,-13.0,-4.0
2441,A,19,29,L,W,L,L,W,W,10.0,8.0,10.0,8.0,4.0,6.0,7.0,15.0,2.0,3.0,1.0,0.0,-10,-6,13,-3.0,7.0
2442,H,20,18,W,D,L,D,W,L,8.0,13.0,13.0,4.0,6.0,4.0,9.0,2.0,1.0,2.0,0.0,0.0,2,2,-4,-2.0,-4.0
2443,A,18,39,W,L,W,W,W,W,7.0,8.0,13.0,14.0,8.0,12.0,3.0,10.0,1.0,0.0,0.0,0.0,-21,-5,7,0.0,23.0
2444,H,41,24,W,L,W,W,W,W,7.0,5.0,20.0,2.0,16.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,17,-2,-13,35.0,-7.0
2445,A,27,18,D,L,L,W,L,D,9.0,10.0,21.0,14.0,11.0,8.0,10.0,1.0,1.0,0.0,0.0,0.0,9,-5,-5,2.0,-8.0
2446,A,16,14,L,L,D,L,W,L,10.0,11.0,17.0,17.0,9.0,13.0,8.0,11.0,2.0,2.0,0.0,0.0,2,0,4,-13.0,-1.0
2447,D,13,29,D,W,L,W,W,L,16.0,12.0,15.0,18.0,10.0,10.0,7.0,14.0,1.0,2.0,0.0,0.0,-16,-2,7,-15.0,7.0
2448,D,35,32,D,W,L,D,W,W,14.0,8.0,16.0,20.0,10.0,10.0,7.0,4.0,2.0,2.0,0.0,0.0,3,0,-2,13.0,15.0
2449,A,9,27,L,L,L,D,L,L,9.0,11.0,4.0,12.0,3.0,7.0,4.0,4.0,1.0,1.0,0.0,0.0,-18,-2,13,-18.0,2.0
2450,D,33,18,D,D,W,L,W,L,10.0,12.0,24.0,9.0,15.0,6.0,9.0,3.0,1.0,1.0,0.0,0.0,15,4,-3,15.0,-5.0
2451,D,30,10,D,W,W,L,L,L,5.0,15.0,28.0,5.0,13.0,2.0,9.0,2.0,1.0,0.0,0.0,0.0,20,5,-11,7.0,-14.0
2452,H,42,14,W,W,W,D,D,W,12.0,10.0,17.0,9.0,9.0,5.0,10.0,2.0,2.0,1.0,0.0,1.0,28,5,-13,28.0,-15.0
2453,D,24,19,L,W,W,L,L,W,13.0,10.0,7.0,10.0,2.0,4.0,7.0,7.0,3.0,0.0,0.0,0.0,5,8,-2,-10.0,-4.0
2454,D,17,21,W,L,W,D,W,D,6.0,14.0,12.0,9.0,8.0,3.0,5.0,6.0,0.0,1.0,0.0,0.0,-4,1,6,0.0,-2.0
2455,D,21,44,W,W,L,W,W,L,8.0,8.0,7.0,18.0,3.0,9.0,5.0,9.0,0.0,1.0,0.0,0.0,-23,-3,9,-7.0,38.0
2456,D,32,15,W,L,W,D,L,L,3.0,12.0,23.0,6.0,17.0,4.0,13.0,3.0,2.0,3.0,0.0,1.0,17,6,-17,8.0,-13.0
2457,A,21,38,D,D,W,W,D,W,7.0,6.0,8.0,19.0,4.0,8.0,3.0,10.0,1.0,1.0,0.0,0.0,-17,-2,8,-4.0,15.0
2458,D,18,16,L,D,W,L,L,L,9.0,12.0,7.0,12.0,4.0,7.0,5.0,11.0,1.0,3.0,0.0,0.0,2,4,-6,-5.0,-14.0
