,Unnamed: 0,HomeTeam,AwayTeam,FTR
332,332,Newcastle,Liverpool,A
333,333,Aston Villa,Norwich,H
334,334,Southampton,Crystal Palace,D
335,335,Watford,Burnley,A
336,336,Wolves,Brighton,A
337,337,Leeds,Man City,A
338,338,Everton,Chelsea,A
339,339,Tottenham,Leicester,H
340,340,West Ham,Arsenal,A
341,341,Man United,Brentford,H
342,342,Brentford,Southampton,H
343,343,Burnley,Aston Villa,A
344,344,Chelsea,Wolves,H
345,345,Crystal Palace,Watford,H
346,346,Brighton,Man United,A
347,347,Liverpool,Tottenham,H
348,348,Arsenal,Leeds,H
349,349,Leicester,Everton,H
350,350,Norwich,West Ham,A
351,351,Man City,Newcastle,H
352,352,Aston Villa,Liverpool,A
353,353,Leeds,Chelsea,A
354,354,Leicester,Norwich,H
355,355,Watford,Everton,A
356,356,Wolves,Man City,A
357,357,Tottenham,Arsenal,H
358,358,Tottenham,Burnley,H
359,359,Aston Villa,Crystal Palace,D
360,360,Leeds,Brighton,A
361,361,Watford,Leicester,A
362,362,West Ham,Man City,A
363,363,Wolves,Norwich,H
364,364,Everton,Brentford,A
365,365,Newcastle,Arsenal,A
366,366,Southampton,Liverpool,A
367,367,Everton,Crystal Palace,D
368,368,Aston Villa,Burnley,H
369,369,Chelsea,Leicester,H
370,370,Arsenal,Everton,H
371,371,Brentford,Leeds,A
372,372,Brighton,West Ham,H
373,373,Burnley,Newcastle,A
374,374,Chelsea,Watford,H
375,375,Crystal Palace,Man United,D
376,376,Leicester,Southampton,H
377,377,Liverpool,Wolves,H
378,378,Man City,Aston Villa,H
379,379,Norwich,Tottenham,A
